,imdb_title_id,title,year,genre,duration,director,actors,avg_vote,worldwide_gross_income,Title,Release Year,Locations,Production Company,Distributor
839,tt0117500,The Rock,1996,"Action, Adventure, Thriller",136,Michael Bay,"Sean Connery, Nicolas Cage, Ed Harris, John Spencer, David Morse, William Forsythe, Michael Biehn, Vanessa Marcil, John C. McGinley, Gregory Sporleder, Tony Todd, Bokeem Woodbine, Jim Maniaci, Greg Collins, Brendan Kelly",7.4,335062621.0,The Rock,1996,The San Francisco Bay,Hollywood Pictures,Buena Vista Pictures
901,tt0120632,City of Angels,1998,"Drama, Fantasy, Romance",114,Brad Silberling,"Nicolas Cage, Meg Ryan, Andre Braugher, Dennis Franz, Colm Feore, Robin Bartlett, Joanna Merlin, Sarah Dampf, Rhonda Dotson, Nigel Gibbs, John Putch, Lauri Johnson, Christian Aubert, Jay Patterson, Shishir Kurup",6.7,198685114.0,City of Angels,1998,San Francisco Public Library Main Branch (100 Larkin Street),Atlas Entertainment,Warner Bros. Pictures
442,tt0072308,The Towering Inferno,1974,"Action, Drama, Thriller",165,John Guillermin,"Steve McQueen, Paul Newman, William Holden, Faye Dunaway, Fred Astaire, Susan Blakely, Richard Chamberlain, Jennifer Jones, O.J. Simpson, Robert Vaughn, Robert Wagner, Susan Flannery, Sheila Allen, Norman Burton, Jack Collins",7.0,116000000.0,The Towering Inferno,1974,"San Francisco Fire Station 38 (2150 California Street, Pacific Heights)",Irwin Allen Productions,Twentieth Century - Fox
578,tt0090264,A View to a Kill,1985,"Action, Adventure, Thriller",131,John Glen,"Roger Moore, Christopher Walken, Tanya Roberts, Grace Jones, Patrick Macnee, Patrick Bauchau, David Yip, Fiona Fullerton, Manning Redwood, Alison Doody, Willoughby Gray, Desmond Llewelyn, Robert Brown, Lois Maxwell, Walter Gotell",6.4,50327960.0,A View to a Kill,1985,Port of San Francisco,Metro-Goldwyn Mayer,MGM/UA Entertainment Company
410,tt0070355,Magnum Force,1973,"Action, Crime, Mystery",124,Ted Post,"Clint Eastwood, Hal Holbrook, Mitchell Ryan, David Soul, Tim Matheson, Kip Niven, Robert Urich, Felton Perry, Maurice Argent, Margaret Avery, Richard Devon, Tony Giorgio, Jack Kosslyn, Bob March, Bob McClurg",7.2,39768000.0,Magnum Force,1973,San Francisco Drydock (20th and Illinois Streets),The Malpaso Company,Warner Bros. Pictures
409,tt0070355,Magnum Force,1973,"Action, Crime, Mystery",124,Ted Post,"Clint Eastwood, Hal Holbrook, Mitchell Ryan, David Soul, Tim Matheson, Kip Niven, Robert Urich, Felton Perry, Maurice Argent, Margaret Avery, Richard Devon, Tony Giorgio, Jack Kosslyn, Bob March, Bob McClurg",7.2,39768000.0,Magnum Force,1973,San Francisco International Airport,The Malpaso Company,Warner Bros. Pictures
637,tt0094963,The Dead Pool,1988,"Action, Crime, Mystery",91,Buddy Van Horn,"Clint Eastwood, Patricia Clarkson, Liam Neeson, Evan C. Kim, David Hunt, Michael Currie, Michael Goodwin, Darwin Gillett, Anthony Charnota, Christopher P. Beale, John Vick, Jeff Richmond, Patrick N. Van Horn, Sigrid Wurschmidt, Jim Carrey",6.3,37903295.0,The Dead Pool,1988,San Francisco Drydock (The Dogpatch),Warner Bros. Pictures,Warner Bros. Pictures
657,tt0094963,The Dead Pool,1988,"Action, Crime, Mystery",91,Buddy Van Horn,"Clint Eastwood, Patricia Clarkson, Liam Neeson, Evan C. Kim, David Hunt, Michael Currie, Michael Goodwin, Darwin Gillett, Anthony Charnota, Christopher P. Beale, John Vick, Jeff Richmond, Patrick N. Van Horn, Sigrid Wurschmidt, Jim Carrey",6.3,37903295.0,The Dead Pool,1988,"San Francisco National Military Cemetery (Lincoln Blvd., The Presidio, Golden Gate National Recreation Center)",Warner Bros. Pictures,Warner Bros. Pictures
663,tt0094963,The Dead Pool,1988,"Action, Crime, Mystery",91,Buddy Van Horn,"Clint Eastwood, Patricia Clarkson, Liam Neeson, Evan C. Kim, David Hunt, Michael Currie, Michael Goodwin, Darwin Gillett, Anthony Charnota, Christopher P. Beale, John Vick, Jeff Richmond, Patrick N. Van Horn, Sigrid Wurschmidt, Jim Carrey",6.3,37903295.0,The Dead Pool,1988,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)",Warner Bros. Pictures,Warner Bros. Pictures
255,tt0066999,Dirty Harry,1971,"Action, Crime, Thriller",102,Don Siegel,"Clint Eastwood, Harry Guardino, Reni Santoni, John Vernon, Andrew Robinson, John Larch, John Mitchum, Mae Mercer, Lyn Edgington, Ruth Kobart, Woodrow Parfrey, Josef Sommer, William Paterson, James Nolan, Maurice Argent",7.7,35976000.0,Dirty Harry,1971,San Francisco Drydock (20th and Illinois Streets),The Malpaso Company,Warner Brothers
