title,worldwide_gross_income,Locations
Godzilla,903990363,Broadway & Columbus
Godzilla,903990363,Broadway & Sansome
Godzilla,903990363,Bush & Kearny
Godzilla,903990363,California & Davis St
Godzilla,903990363,Eddy & Taylor St.
Godzilla,903990363,Embarcadero & Washington
Godzilla,903990363,Kearney & Pine St.
Godzilla,903990363,Mission & Beal
Godzilla,903990363,Mission & Fremont St
Godzilla,903990363,Pier 1
Godzilla,903990363,Pier 7 (The Embarcadero)
Godzilla,903990363,Pine St. & Davis St
Godzilla,903990363,Post & Jones St.
Godzilla,903990363,Potrero &San Bruno
Godzilla,903990363,Sacramento & Front St.
Godzilla,903990363,Stockton & Clay St
Dawn of the Planet of the Apes,710644566,City Hall
Forrest Gump,678229452,Palace of Fine Arts (3301 Lyon Street)
San Andreas,473990832,Coit Tower
Pretty Woman,463407097,
Basic Instinct,352927224,Pier 7 (The Embarcadero)
The Rock,335062621,City Hall
The Rock,335062621,Coit Tower
The Rock,335062621,Palace of Fine Arts (3301 Lyon Street)
Superman,300451667,Golden Gate Bridge
Doctor Dolittle,294456605,Coit Tower
Hulk,245285165,Golden Gate Bridge
Hulk,245285165,Treasure Island
Patch Adams,202292902,Treasure Island
Flubber,177977226,Treasure Island
Phenomenon,152036382,Treasure Island
Mona Lisa Smile,141337989,
Star Trek IV: The Voyage Home,109713132,Golden Gate Bridge
Just Like Heaven,102854431,
Star Trek VI: The Undiscovered Country,96888996,Golden Gate Bridge
The Wedding Planner,94728529,City Hall
The Wedding Planner,94728529,Pier 7 (The Embarcadero)
Bedazzled,90383208,City Hall
The Nightmare Before Christmas,89140058,
Bicentennial Man,87423861,City Hall
Bicentennial Man,87423861,Golden Gate Bridge
Bicentennial Man,87423861,Treasure Island
Dying Young,82264675,
Serendipity,77516304,
The Core,73498611,Golden Gate Bridge
Jack,58896358,
Sister Act 2: Back in the Habit,57319029,Coit Tower
Beaches,57041866,
What Dreams May Come,55382927,Treasure Island
Milk,54589558,City Hall
Milk,54589558,Golden Gate Bridge
Milk,54589558,Treasure Island
Tin Cup,53854588,
The Love Bug,51264000,Golden Gate Bridge
A View to a Kill,50327960,City Hall
A View to a Kill,50327960,Golden Gate Bridge
The Enforcer,46236000,City Hall
The Enforcer,46236000,Coit Tower
Foul Play,44999621,City Hall
Happy Gilmore,41205099,
Twisted,40954603,
Jagged Edge,40491165,City Hall
Jagged Edge,40491165,Golden Gate Bridge
Magnum Force,39768000,City Hall
Magnum Force,39768000,Golden Gate Bridge
The Doctor,38120905,
Down Periscope,37553752,
Raising Cain,37170057,
Edtv,35242897,Palace of Fine Arts (3301 Lyon Street)
The Doors,34416893,
Copycat,32051917,Treasure Island
Rent,31670620,Treasure Island
James and the Giant Peach,28946127,
Fathers' Day,28598376,
Final Analysis,28590665,City Hall
Class Action,28277918,City Hall
The Other Sister,27807627,Palace of Fine Arts (3301 Lyon Street)
Innerspace,25893810,Golden Gate Bridge
Rollerball,25852764,
Boys and Girls,25850615,City Hall
Boys and Girls,25850615,Coit Tower
Boys and Girls,25850615,Golden Gate Bridge
The Woman in Red,25308147,Palace of Fine Arts (3301 Lyon Street)
Invasion of the Body Snatchers,24948394,City Hall
The Caine Mutiny,21750000,Golden Gate Bridge
The Right Stuff,21192102,City Hall
The Presidio,20324096,Coit Tower
The Presidio,20324096,Golden Gate Bridge
Tucker: The Man and His Dream,19652638,City Hall
Mother,19145198,Golden Gate Bridge
House of Sand and Fog,16763804,
Desperate Measures,13806137,
Shattered,11511031,
Big Trouble in Little China,11100374,
Thief of Hearts,10435015,
True Believer,8742750,
Vertigo,7796389,Palace of Fine Arts (3301 Lyon Street)
Bee Season,6856989,
Panther,6834525,
Golden Gate,395105,Golden Gate Bridge
Haiku Tunnel,92723,
The Zodiac,86872,
Dark Passage,9693,Golden Gate Bridge
Knife Fight,5661,City Hall
The Maltese Falcon,1255,Golden Gate Bridge
