,imdb_title_id,title,year,genre,duration,director,actors,avg_vote,worldwide_gross_income,Title,Release Year,Locations,Production Company,Distributor
0,tt0015881,Greed,1924,"Drama, Thriller, Western",140,Erich von Stroheim,"Zasu Pitts, Gibson Gowland, Jean Hersholt, Dale Fuller, Tempe Pigott, Sylvia Ashton, Chester Conklin, Joan Standing",8.1,0,Greed,1924,Bush and Sutter Streets,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM)
1,tt0015881,Greed,1924,"Drama, Thriller, Western",140,Erich von Stroheim,"Zasu Pitts, Gibson Gowland, Jean Hersholt, Dale Fuller, Tempe Pigott, Sylvia Ashton, Chester Conklin, Joan Standing",8.1,0,Greed,1924,Hayes Street at Laguna,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM)
2,tt0015881,Greed,1924,"Drama, Thriller, Western",140,Erich von Stroheim,"Zasu Pitts, Gibson Gowland, Jean Hersholt, Dale Fuller, Tempe Pigott, Sylvia Ashton, Chester Conklin, Joan Standing",8.1,0,Greed,1924,Cliff House (1090 Point Lobos Avenue),Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM)
3,tt0018037,The Jazz Singer,1927,"Drama, Music, Musical",88,Alan Crosland,"Al Jolson, May McAvoy, Warner Oland, Eugenie Besserer, Otto Lederer, Robert Gordon, Richard Tucker, Yossele Rosenblatt",6.5,0,The Jazz Singer,1927,Coffee Dan's (O'Farrell Street at Powell),Warner Bros. Pictures,Warner Bros. Pictures
4,tt0022111,The Maltese Falcon,1931,"Crime, Drama, Film-Noir",80,Roy Del Ruth,"Bebe Daniels, Ricardo Cortez, Dudley Digges, Una Merkel, Robert Elliott, Thelma Todd, Otto Matieson, Walter Long, Dwight Frye, J. Farrell MacDonald",6.9,0,The Maltese Falcon,1941,Ferry Building,Warner Bros. Pictures,Warner Bros. Pictures
5,tt0022111,The Maltese Falcon,1931,"Crime, Drama, Film-Noir",80,Roy Del Ruth,"Bebe Daniels, Ricardo Cortez, Dudley Digges, Una Merkel, Robert Elliott, Thelma Todd, Otto Matieson, Walter Long, Dwight Frye, J. Farrell MacDonald",6.9,0,The Maltese Falcon,1941,Golden Gate Bridge,Warner Bros. Pictures,Warner Bros. Pictures
6,tt0022111,The Maltese Falcon,1931,"Crime, Drama, Film-Noir",80,Roy Del Ruth,"Bebe Daniels, Ricardo Cortez, Dudley Digges, Una Merkel, Robert Elliott, Thelma Todd, Otto Matieson, Walter Long, Dwight Frye, J. Farrell MacDonald",6.9,0,The Maltese Falcon,1941,"Burritt Alley (Off Bush Street, between Powell and Stockton Streets)",Warner Bros. Pictures,Warner Bros. Pictures
7,tt0033870,The Maltese Falcon,1941,"Film-Noir, Mystery",100,John Huston,"Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre, Barton MacLane, Lee Patrick, Sydney Greenstreet, Ward Bond, Jerome Cowan, Elisha Cook Jr., James Burke, Murray Alper, John Hamilton",8.0,1255,The Maltese Falcon,1941,Ferry Building,Warner Bros. Pictures,Warner Bros. Pictures
8,tt0033870,The Maltese Falcon,1941,"Film-Noir, Mystery",100,John Huston,"Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre, Barton MacLane, Lee Patrick, Sydney Greenstreet, Ward Bond, Jerome Cowan, Elisha Cook Jr., James Burke, Murray Alper, John Hamilton",8.0,1255,The Maltese Falcon,1941,Golden Gate Bridge,Warner Bros. Pictures,Warner Bros. Pictures
9,tt0033870,The Maltese Falcon,1941,"Film-Noir, Mystery",100,John Huston,"Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre, Barton MacLane, Lee Patrick, Sydney Greenstreet, Ward Bond, Jerome Cowan, Elisha Cook Jr., James Burke, Murray Alper, John Hamilton",8.0,1255,The Maltese Falcon,1941,"Burritt Alley (Off Bush Street, between Powell and Stockton Streets)",Warner Bros. Pictures,Warner Bros. Pictures
