,imdb_title_id,title,year,genre,duration,director,actors,avg_vote,worldwide_gross_income,Title_x,Release Year_x,Locations,Production Company_x,Distributor_x,Title_y,Release Year_y,Fun Facts,Production Company_y,Distributor_y,Director,Writer,Actor 1,Actor 2,Actor 3
0,tt2103281,Dawn of the Planet of the Apes,2014,"Action, Adventure, Drama",130,Matt Reeves,"Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell, Toby Kebbell, Kodi Smit-McPhee, Kirk Acevedo, Nick Thurston, Terry Notary, Karin Konoval, Judy Greer, Jon Eyez, Enrique Murciano, Larramie Doc Shaw, Lee Ross",7.6,710644566,Dawn of the Planet of the Apes,2014,City Hall,"Fox Louisiana Productions, LLC",Twentieth Century Fox,A View to a Kill,1985,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts
2,tt2103281,Dawn of the Planet of the Apes,2014,"Action, Adventure, Drama",130,Matt Reeves,"Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell, Toby Kebbell, Kodi Smit-McPhee, Kirk Acevedo, Nick Thurston, Terry Notary, Karin Konoval, Judy Greer, Jon Eyez, Enrique Murciano, Larramie Doc Shaw, Lee Ross",7.6,710644566,Dawn of the Planet of the Apes,2014,City Hall,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Foul Play,1978,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith
3,tt2103281,Dawn of the Planet of the Apes,2014,"Action, Adventure, Drama",130,Matt Reeves,"Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell, Toby Kebbell, Kodi Smit-McPhee, Kirk Acevedo, Nick Thurston, Terry Notary, Karin Konoval, Judy Greer, Jon Eyez, Enrique Murciano, Larramie Doc Shaw, Lee Ross",7.6,710644566,Dawn of the Planet of the Apes,2014,City Hall,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Invasion of the Body Snatchers,1978,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams
4,tt2103281,Dawn of the Planet of the Apes,2014,"Action, Adventure, Drama",130,Matt Reeves,"Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell, Toby Kebbell, Kodi Smit-McPhee, Kirk Acevedo, Nick Thurston, Terry Notary, Karin Konoval, Judy Greer, Jon Eyez, Enrique Murciano, Larramie Doc Shaw, Lee Ross",7.6,710644566,Dawn of the Planet of the Apes,2014,City Hall,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Jagged Edge,1985,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Columbia Pictures Corp.,Columbia Pictures,Richard Marquand,Joe Eszterhas,Glenn Close,Jeff Bridges,Peter Coyote
5,tt2103281,Dawn of the Planet of the Apes,2014,"Action, Adventure, Drama",130,Matt Reeves,"Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell, Toby Kebbell, Kodi Smit-McPhee, Kirk Acevedo, Nick Thurston, Terry Notary, Karin Konoval, Judy Greer, Jon Eyez, Enrique Murciano, Larramie Doc Shaw, Lee Ross",7.6,710644566,Dawn of the Planet of the Apes,2014,City Hall,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Magnum Force,1973,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius,Clint Eastwood,Hal Holbrook,Mitchell Ryan
6,tt2103281,Dawn of the Planet of the Apes,2014,"Action, Adventure, Drama",130,Matt Reeves,"Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell, Toby Kebbell, Kodi Smit-McPhee, Kirk Acevedo, Nick Thurston, Terry Notary, Karin Konoval, Judy Greer, Jon Eyez, Enrique Murciano, Larramie Doc Shaw, Lee Ross",7.6,710644566,Dawn of the Planet of the Apes,2014,City Hall,"Fox Louisiana Productions, LLC",Twentieth Century Fox,San Francisco,1936,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,W.S. Van Dyke,Anita Loos,Clark Gable,Jeanette MacDonald,Spencer Tracy
7,tt2103281,Dawn of the Planet of the Apes,2014,"Action, Adventure, Drama",130,Matt Reeves,"Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell, Toby Kebbell, Kodi Smit-McPhee, Kirk Acevedo, Nick Thurston, Terry Notary, Karin Konoval, Judy Greer, Jon Eyez, Enrique Murciano, Larramie Doc Shaw, Lee Ross",7.6,710644566,Dawn of the Planet of the Apes,2014,City Hall,"Fox Louisiana Productions, LLC",Twentieth Century Fox,The Enforcer,1976,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Harry Guardino
8,tt2103281,Dawn of the Planet of the Apes,2014,"Action, Adventure, Drama",130,Matt Reeves,"Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell, Toby Kebbell, Kodi Smit-McPhee, Kirk Acevedo, Nick Thurston, Terry Notary, Karin Konoval, Judy Greer, Jon Eyez, Enrique Murciano, Larramie Doc Shaw, Lee Ross",7.6,710644566,Dawn of the Planet of the Apes,2014,City Hall,"Fox Louisiana Productions, LLC",Twentieth Century Fox,The Right Stuff,1983,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",The Ladd Company,The Ladd Company,Philip Kaufman,Philip Kaufman,Sam Shepard,Scott Glenn,Ed Harris
9,tt2103281,Dawn of the Planet of the Apes,2014,"Action, Adventure, Drama",130,Matt Reeves,"Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell, Toby Kebbell, Kodi Smit-McPhee, Kirk Acevedo, Nick Thurston, Terry Notary, Karin Konoval, Judy Greer, Jon Eyez, Enrique Murciano, Larramie Doc Shaw, Lee Ross",7.6,710644566,Dawn of the Planet of the Apes,2014,City Hall,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Tucker: The Man and His Dream,1988,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Lucasfilm,Paramount Pictures,Francis Ford Coppola,Arnold Schulman,Jeff Bridges,Joan Allen,Marin Landau
10,tt2103281,Dawn of the Planet of the Apes,2014,"Action, Adventure, Drama",130,Matt Reeves,"Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell, Toby Kebbell, Kodi Smit-McPhee, Kirk Acevedo, Nick Thurston, Terry Notary, Karin Konoval, Judy Greer, Jon Eyez, Enrique Murciano, Larramie Doc Shaw, Lee Ross",7.6,710644566,Dawn of the Planet of the Apes,2014,City Hall,"Fox Louisiana Productions, LLC",Twentieth Century Fox,When We Rise,2017,"Exterior scenes include re-creating the White Night Riots on May 21, 1979 and the Gay Freedom March. Interior scenes included the wedding ceremony for Roma and Diane which had a few Board of Supervisors in the ceremony. The current Clerk for the Board of Supervisors played herself in one of the scenes filmed in the Chambers.",Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams
